LineId;NormalizedAngle;EntryPointX;EntryPointY;EntryAngle;ConfidenceScore;AmbiguityProb;NeedsReview;RuleApplied
523;90;-41685.1077;169219.9593;90;0.9999921321868896;0.3766959607601166;False;"EntryScorer; BaseModel"
524;90;-41685.1077;174669.9593;270;1.0;0.37665456533432007;False;"EntryScorer; BaseModel"
525;90;-41685.1077;185538.053;90;0.9999972581863403;0.3766557276248932;False;"EntryScorer; BaseModel"
526;90;-41685.1077;190988.053;270;1.0;0.37665483355522156;False;"EntryScorer; BaseModel"
527;90;-41685.1077;202148.383;90;0.9999977350234985;0.37665504217147827;False;"EntryScorer; BaseModel"
528;90;-41685.1077;207598.383;270;1.0;0.37665319442749023;False;"EntryScorer; BaseModel"
529;90;-41685.1077;221621.6986;90;0.9999990463256836;0.3766532242298126;False;"EntryScorer; BaseModel"
530;90;-41685.1077;227071.6986;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
531;90;-41685.1077;239404.4438;90;0.9999980926513672;0.37665387988090515;False;"EntryScorer; BaseModel"
532;90;-41685.1077;244854.4438;270;0.9992050528526306;0.9556516408920288;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
533;90;-41685.1077;251150.4316;90;0.6810371279716492;0.9915336966514587;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
534;90;-39761.1107;161399.8595;270;0.9999998807907104;0.5842690467834473;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
535;90;-39761.1107;169219.9593;90;0.9999921321868896;0.3766959607601166;False;"EntryScorer; BaseModel"
536;90;-39761.1107;174669.9593;270;1.0;0.37665456533432007;False;"EntryScorer; BaseModel"
537;90;-39761.1107;185538.053;90;0.9999972581863403;0.3766557276248932;False;"EntryScorer; BaseModel"
538;90;-39761.1107;190988.053;270;1.0;0.37665483355522156;False;"EntryScorer; BaseModel"
539;90;-39761.1107;202148.383;90;0.9999977350234985;0.37665504217147827;False;"EntryScorer; BaseModel"
540;90;-39761.1107;207598.383;270;1.0;0.37665319442749023;False;"EntryScorer; BaseModel"
541;90;-39761.1107;221621.6986;90;0.9999990463256836;0.3766532242298126;False;"EntryScorer; BaseModel"
542;90;-39761.1107;227071.6986;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
543;90;-39761.1107;239404.4438;90;0.9999980926513672;0.37665387988090515;False;"EntryScorer; BaseModel"
544;90;-39761.1107;244854.4438;270;0.9992050528526306;0.9556516408920288;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
545;90;-39761.1107;251150.4316;90;0.6810375452041626;0.9915336966514587;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
546;90;-37837.1138;161399.8595;270;0.9999998807907104;0.5842692852020264;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
547;90;-37837.1138;169219.9593;90;0.9999921321868896;0.3766963481903076;False;"EntryScorer; BaseModel"
548;90;-37837.1138;174669.9593;270;1.0;0.37665456533432007;False;"EntryScorer; BaseModel"
549;90;-37837.1138;185538.053;90;0.9999972581863403;0.3766557276248932;False;"EntryScorer; BaseModel"
550;90;-37837.1138;190988.053;270;1.0;0.37665483355522156;False;"EntryScorer; BaseModel"
551;90;-37837.1138;202148.383;90;0.999997615814209;0.37665504217147827;False;"EntryScorer; BaseModel"
552;90;-37837.1138;207598.383;270;1.0;0.37665319442749023;False;"EntryScorer; BaseModel"
553;90;-37837.1138;221621.6986;90;0.9999990463256836;0.3766532242298126;False;"EntryScorer; BaseModel"
554;90;-37837.1138;227071.6986;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
555;90;-37837.1138;239404.4438;90;0.9999980926513672;0.37665387988090515;False;"EntryScorer; BaseModel"
556;90;-37837.1138;244854.4438;270;0.999215841293335;0.9556515216827393;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
